ConstituentID,DateAcquired,Gender,Gender_NM,Department,,Decade,MPD_A,MPD_M,MPD_NM,,M in 1960,NM in 1960,M in 2000,NM in 2000
5581,1940,male,male,Architecture & Design,,,,,,,,,,
1140,1940,female,non-male,Drawings & Prints,,,,,,,,,,
1225,1940,male,male,Drawings & Prints,,,,,,,,,,
3189,1940,male,male,Drawings & Prints,,,,,,,,,,
5365,1940,male,male,Architecture & Design,,,,,,,,,,
728,1940,male,male,Architecture & Design,,,,,,,,,,
1948,1940,male,male,Architecture & Design,,,,,,,,,,
6306,1940,male,male,Drawings & Prints,,,,,,,,,,
6442,1940,male,male,Drawings & Prints,,,,,,,,,,
6319,1940,male,male,Drawings & Prints,,,,,,,,,,
39856,1940,male,male,Architecture & Design,,,,,,,,,,
4549,1940,male,male,Architecture & Design,,,,,,,,,,
4898,1940,male,male,Architecture & Design,,,,,,,,,,
3992,1940,male,male,Architecture & Design,,,,,,,,,,
2621,1940,male,male,Architecture & Design,,,,,,,,,,
4431,1940,male,male,Architecture & Design,,,,,,,,,,
1228,1940,male,male,Drawings & Prints,,,,,,,,,,
1016,1940,female,non-male,Drawings & Prints,,,,,,,,,,
80,1940,male,male,Photography,,,,,,,,,,
1059,1940,male,male,Drawings & Prints,,,,,,,,,,
6374,1940,female,non-male,Drawings & Prints,,,,,,,,,,
3579,1940,male,male,Drawings & Prints,,,,,,,,,,
1833,1940,male,male,Photography,,,,,,,,,,
486,1940,male,male,Painting & Sculpture,,,,,,,,,,
5562,1940,male,male,Painting & Sculpture,,,,,,,,,,
4821,1940,male,male,Painting & Sculpture,,,,,,,,,,
4640,1940,male,male,Drawings & Prints,,,,,,,,,,
5059,1940,male,male,Drawings & Prints,,,,,,,,,,
3909,1940,male,male,Drawings & Prints,,,,,,,,,,
4037,1940,female,non-male,Drawings & Prints,,,,,,,,,,
4082,1940,male,male,Drawings & Prints,,,,,,,,,,
4140,1940,male,male,Drawings & Prints,,,,,,,,,,
229,1940,male,male,Photography,,,,,,,,,,
4242,1940,male,male,Drawings & Prints,,,,,,,,,,
3546,1940,male,male,Drawings & Prints,,,,,,,,,,
1739,1940,male,male,Painting & Sculpture,,,,,,,,,,
3736,1940,male,male,Drawings & Prints,,,,,,,,,,
3748,1940,male,male,Drawings & Prints,,,,,,,,,,
48179,1940,male,male,Architecture & Design,,,,,,,,,,
